Run,ExperimentGroup,Algorithm,Tag,Case,Param_Set,Archive_size,Profit_max,Load_min,Attitude_min,Quality_max,Representative_Profit,Representative_Load,Representative_Attitude,Representative_Quality,Task_count_mean,Representative_Index,Final_feasible_count,Final_candidate_count,Best_completion_rate,Runtime_seconds,RL_T_ref,RL_avg_episode_length,RL_last_train_loss,RL_last_epsilon,RL_last_kappa,RL_last_q_baseline,RL_last_advantage_span,RL_replay_size,Candidate_nodes,Conflict_edges,Param_overrides
1,comparison,MOACO,moaco,area_s5_t700,moaco,56,3561.0,0.0,9292.586884166687,,3561.0,2.6076809620810595,10162.590822366672,,480,12,56,56,0.6857142857142857,11828.004664799999,,,,,,,,,4724,57168,{}
2,comparison,MOACO,moaco,area_s5_t700,moaco,75,3557.0,0.0,9064.798461733342,,3557.0,3.3466401061363023,9963.7892579889,,480,18,75,75,0.6885714285714286,12090.144402299993,,,,,,,,,4724,57168,{}
3,comparison,MOACO,moaco,area_s5_t700,moaco,58,3578.0,0.0,9257.911459500028,,3578.0,3.3823069050575527,10163.056965900045,,482,2,58,58,0.69,10361.4815943,,,,,,,,,4724,57168,{}
4,comparison,MOACO,moaco,area_s5_t700,moaco,44,3567.0,0.4,9215.225594400006,,3567.0,3.49857113690718,9735.671533733364,,483,5,44,44,0.69,10127.993874599997,,,,,,,,,4724,57168,{}
5,comparison,MOACO,moaco,area_s5_t700,moaco,63,3585.0,0.0,9225.654434133367,,3585.0,2.5768197453450252,9979.212081500014,,483,15,63,63,0.6914285714285714,10777.6250573,,,,,,,,,4724,57168,{}
6,comparison,MOACO,moaco,area_s5_t700,moaco,53,3599.0,0.0,9238.797761700023,,3599.0,2.4819347291981715,10010.807440233331,,486,36,53,53,0.6942857142857143,10454.788933400006,,,,,,,,,4724,57168,{}
7,comparison,MOACO,moaco,area_s5_t700,moaco,68,3555.0,0.0,9249.988296966707,,3555.0,2.4819347291981715,10105.347757822266,,481,59,68,68,0.6871428571428572,13293.931781899999,,,,,,,,,4724,57168,{}
8,comparison,MOACO,moaco,area_s5_t700,moaco,56,3616.0,0.4,9134.625926933359,,3616.0,3.0983866769659336,10016.305838966658,,490,36,56,56,0.7,13770.752300099994,,,,,,,,,4724,57168,{}
9,comparison,MOACO,moaco,area_s5_t700,moaco,62,3597.0,0.0,8963.789258566685,,3597.0,2.5768197453450252,9543.76290680003,,487,5,62,62,0.6957142857142857,9045.724896600004,,,,,,,,,4724,57168,{}
10,comparison,MOACO,moaco,area_s5_t700,moaco,72,3539.0,0.0,9212.816637000013,,3539.0,0.8,10197.325272933345,,477,18,72,72,0.6842857142857143,8946.554239400008,,,,,,,,,4724,57168,{}
Average,comparison,MOACO,moaco,area_s5_t700,moaco,60.7,3575.4,0.08,9185.619471510021,,3575.4,2.685109473623442,9987.786987824462,,482.9,,60.7,60.7,0.6907142857142857,11069.70017447,,,,,,,,,4724.0,57168.0,{}
Std,comparison,MOACO,moaco,area_s5_t700,moaco,8.843641783790206,22.645970944077447,0.16,96.57388003915341,,22.645970944077447,0.7363335620882981,195.37529174145573,,3.645545226711637,,8.843641783790206,8.843641783790206,0.004573660169594883,1559.334908191222,,,,,,,,,0.0,0.0,{}
