Run,ExperimentGroup,Algorithm,Tag,Case,Param_Set,Archive_size,Profit_max,Load_min,Attitude_min,Quality_max,Representative_Profit,Representative_Load,Representative_Attitude,Representative_Quality,Task_count_mean,Representative_Index,Final_feasible_count,Final_candidate_count,Best_completion_rate,Runtime_seconds,RL_T_ref,RL_avg_episode_length,RL_last_train_loss,RL_last_epsilon,RL_last_kappa,RL_last_q_baseline,RL_last_advantage_span,RL_replay_size,Candidate_nodes,Conflict_edges,Param_overrides
1,comparison,MOPSO,mopso,area_s5_t700,mopso,51,3179.0,0.0,9396.687457385908,,3179.0,3.6110940170535577,10942.80240530001,,447,34,51,51,0.6414285714285715,1749.050995700003,,,,,,,,,4724,57168,{}
2,comparison,MOPSO,mopso,area_s5_t700,mopso,59,3151.0,0.0,9214.625649174563,,3151.0,1.5999999999999999,10187.267968174565,,446,28,59,59,0.6385714285714286,1744.5637174000003,,,,,,,,,4724,57168,{}
3,comparison,MOPSO,mopso,area_s5_t700,mopso,53,3185.0,0.4,9635.061585333351,,3185.0,1.3266499161421599,10852.826495089257,,451,39,53,53,0.6442857142857142,1178.1513362000005,,,,,,,,,4724,57168,{}
4,comparison,MOPSO,mopso,area_s5_t700,mopso,63,3156.0,0.0,9475.534858000023,,3156.0,2.3151673805580453,10210.803544866663,,446,49,63,63,0.6371428571428571,1168.2975035000018,,,,,,,,,4724,57168,{}
5,comparison,MOPSO,mopso,area_s5_t700,mopso,62,3126.0,0.0,9444.814468633318,,3126.0,1.7888543819998317,10572.464482733318,,445,24,62,62,0.6357142857142857,1173.0849918000022,,,,,,,,,4724,57168,{}
6,comparison,MOPSO,mopso,area_s5_t700,mopso,62,3145.0,0.0,9568.091331533336,,3145.0,2.6532998322843198,10719.076278122227,,448,31,62,62,0.64,1192.5257244999993,,,,,,,,,4724,57168,{}
7,comparison,MOPSO,mopso,area_s5_t700,mopso,50,3182.0,0.0,9459.998341743683,,3182.0,0.9797958971132712,10523.411846699986,,454,45,50,50,0.6485714285714286,1766.0000322000014,,,,,,,,,4724,57168,{}
8,comparison,MOPSO,mopso,area_s5_t700,mopso,41,3206.0,0.0,9337.925950800014,,3206.0,2.6076809620810595,10622.836396033375,,455,27,41,41,0.65,1767.0933760999978,,,,,,,,,4724,57168,{}
9,comparison,MOPSO,mopso,area_s5_t700,mopso,60,3193.0,0.4,9467.444952299995,,3193.0,3.249615361854384,10355.822299966661,,454,59,60,60,0.6485714285714286,1113.7945541000008,,,,,,,,,4724,57168,{}
10,comparison,MOPSO,mopso,area_s5_t700,mopso,44,3208.0,0.0,9463.98358540001,,3208.0,3.3105890714493698,10510.684935066689,,454,7,44,44,0.6485714285714286,1124.4083430000028,,,,,,,,,4724,57168,{}
Average,comparison,MOPSO,mopso,area_s5_t700,mopso,54.5,3173.1,0.08,9446.41681803042,,3173.1,2.3442746820536,10549.799665205275,,450.0,,54.5,54.5,0.6432857142857142,1397.697057450001,,,,,,,,,4724.0,57168.0,{}
Std,comparison,MOPSO,mopso,area_s5_t700,mopso,7.5,25.96324324887012,0.16,109.61186902764811,,25.96324324887012,0.8534495972712701,238.1134480235359,,3.794733192202055,,7.5,7.5,0.00511300861947809,294.0279712844231,,,,,,,,,0.0,0.0,{}
