Run,ExperimentGroup,Algorithm,Tag,Case,Param_Set,Archive_size,Profit_max,Load_min,Attitude_min,Quality_max,Representative_Profit,Representative_Load,Representative_Attitude,Representative_Quality,Task_count_mean,Representative_Index,Final_feasible_count,Final_candidate_count,Best_completion_rate,Runtime_seconds,RL_T_ref,RL_avg_episode_length,RL_last_train_loss,RL_last_epsilon,RL_last_kappa,RL_last_q_baseline,RL_last_advantage_span,RL_replay_size,Candidate_nodes,Conflict_edges,Param_overrides
1,comparison,MOACO,moaco,area_s5_t900,moaco,50,4145.0,0.0,10318.531676994371,,4145.0,4.6303347611160905,10914.80542539437,,552,34,50,50,0.6144444444444445,11665.706867399975,,,,,,,,,6176,90866,{}
2,comparison,MOACO,moaco,area_s5_t900,moaco,81,4128.0,0.4,10527.961806533322,,4128.0,2.925747767665559,11141.309615666654,,551,71,81,81,0.6122222222222222,11931.65581930001,,,,,,,,,6176,90866,{}
3,comparison,MOACO,moaco,area_s5_t900,moaco,74,4173.0,0.4,10428.046046433323,,4173.0,1.4142135623730951,10900.746582400014,,560,39,74,74,0.6222222222222222,12678.1320099,,,,,,,,,6176,90866,{}
4,comparison,MOACO,moaco,area_s5_t900,moaco,63,4170.0,0.0,10293.334910633346,,4170.0,2.244994432064365,11171.441770866693,,558,22,63,63,0.62,11409.517152999993,,,,,,,,,6176,90866,{}
5,comparison,MOACO,moaco,area_s5_t900,moaco,83,4169.0,0.0,10484.724942594368,,4169.0,1.7435595774162693,11044.169210933333,,558,43,83,83,0.62,10276.23396100002,,,,,,,,,6176,90866,{}
6,comparison,MOACO,moaco,area_s5_t900,moaco,78,4140.0,0.0,10446.926264000009,,4140.0,2.039607805437114,11126.610448666683,,554,21,78,78,0.6155555555555555,12273.282420599979,,,,,,,,,6176,90866,{}
7,comparison,MOACO,moaco,area_s5_t900,moaco,58,4133.0,0.0,10363.219659466668,,4133.0,3.32264954516723,11256.51675099999,,552,50,58,58,0.6144444444444445,12664.2497096,,,,,,,,,6176,90866,{}
8,comparison,MOACO,moaco,area_s5_t900,moaco,79,4136.0,0.0,10410.122250200011,,4136.0,2.33238075793812,10943.14804620002,,552,51,79,79,0.6144444444444445,11349.488671399973,,,,,,,,,6176,90866,{}
9,comparison,MOACO,moaco,area_s5_t900,moaco,54,4155.0,0.4,10473.65258736668,,4155.0,3.4409301068170506,11323.278637366666,,558,28,54,54,0.62,7536.4858656,,,,,,,,,6176,90866,{}
10,comparison,MOACO,moaco,area_s5_t900,moaco,45,4130.0,0.0,10471.772295700026,,4130.0,0.8944271909999159,10922.152885099998,,550,40,45,45,0.6111111111111112,5830.213175699988,,,,,,,,,6176,90866,{}
Average,comparison,MOACO,moaco,area_s5_t900,moaco,66.5,4147.9,0.12000000000000001,10421.829243992212,,4147.9,2.498884550699481,11074.417937359442,,554.5,,66.5,66.5,0.6164444444444445,10761.496565349993,,,,,,,,,6176.0,90866.0,{}
Std,comparison,MOACO,moaco,area_s5_t900,moaco,13.425721582097552,16.62798845320744,0.1833030277982336,71.9873490742485,,16.62798845320744,1.0447851464657476,144.4552229908488,,3.442382895611701,,13.425721582097552,13.425721582097552,0.0036106837353937515,2179.1218748350598,,,,,,,,,0.0,0.0,{}
