Run,Algorithm,Case,Archive_size,Best_f1,Best_f2,Best_f3,Best_completion_rate,Runtime_seconds,Candidate_nodes,Conflict_edges
1,SFMODBO,area_s5_t300,86,0.3595505617977528,1375.6606415095146,0.4,0.63,24.019315700000107,2084,30547
2,SFMODBO,area_s5_t300,100,0.37827715355805247,1366.47704656123,0.0,0.6166666666666667,24.439480300000014,2084,30547
3,SFMODBO,area_s5_t300,91,0.36704119850187267,1367.18173045565,0.4898979485566356,0.63,24.66227619999995,2084,30547
4,SFMODBO,area_s5_t300,79,0.37734082397003743,1367.6923105243848,0.4,0.62,24.58572490000006,2084,30547
5,SFMODBO,area_s5_t300,82,0.36189138576779023,1367.9416030406296,0.4,0.63,24.534462200000007,2084,30547
6,SFMODBO,area_s5_t300,73,0.36470037453183524,1394.4389712006362,0.4,0.63,26.603913899999952,2084,30547
7,SFMODBO,area_s5_t300,77,0.375,1361.732932645119,0.4,0.6166666666666667,25.743971200000033,2084,30547
8,SFMODBO,area_s5_t300,100,0.3595505617977528,1368.7591030567824,0.4,0.63,25.666615900000124,2084,30547
9,SFMODBO,area_s5_t300,79,0.3679775280898876,1343.4935515640525,0.0,0.6233333333333333,25.38451310000005,2084,30547
10,SFMODBO,area_s5_t300,72,0.35861423220973787,1400.561097365999,0.0,0.64,25.512846099999933,2084,30547
Average,SFMODBO,area_s5_t300,83.9,0.3669943820224719,1371.3938987923998,0.28898979485566356,0.6266666666666667,25.115311950000024,2084.0,30547.0
Std,SFMODBO,area_s5_t300,9.65867485734974,0.007153735756759002,15.317472438037012,0.19101020514433645,0.0069920589878010074,0.7501088846663433,0.0,0.0
