Run,Algorithm,Case,Archive_size,Best_f1,Best_f2,Best_f3,Best_completion_rate,Runtime_seconds,Candidate_nodes,Conflict_edges
1,CG-MOACO,area_s5_t300,99,0.2387640449438202,1450.5625128636782,0.0,0.7233333333333334,1254.4928505000134,2084,30547
2,CG-MOACO,area_s5_t300,100,0.2401685393258427,1441.2752959192633,0.0,0.72,1311.3923061999958,2084,30547
3,CG-MOACO,area_s5_t300,100,0.2457865168539326,1432.550582594053,0.0,0.7166666666666667,1241.3659256000246,2084,30547
4,CG-MOACO,area_s5_t300,100,0.25187265917602997,1426.6301278291087,0.0,0.7066666666666667,1078.3817128000082,2084,30547
5,CG-MOACO,area_s5_t300,97,0.23923220973782766,1413.905287781744,0.4,0.72,1074.6607721000037,2084,30547
6,CG-MOACO,area_s5_t300,100,0.2429775280898876,1435.9463996853851,0.0,0.7166666666666667,1071.8865711999824,2084,30547
7,CG-MOACO,area_s5_t300,100,0.23501872659176026,1452.8128907829432,0.4,0.7266666666666667,1068.390780000016,2084,30547
8,CG-MOACO,area_s5_t300,100,0.24250936329588013,1446.5866944035217,0.4,0.72,1063.6144790000108,2084,30547
9,CG-MOACO,area_s5_t300,100,0.2457865168539326,1427.648647349833,0.0,0.7133333333333334,1099.9593270999903,2084,30547
10,CG-MOACO,area_s5_t300,100,0.2387640449438202,1427.121268807841,0.4,0.7233333333333334,1095.5694164999877,2084,30547
Average,CG-MOACO,area_s5_t300,99.6,0.2420880149812734,1435.503970801737,0.16,0.7186666666666667,1135.9714141000034,2084.0,30547.0
Std,CG-MOACO,area_s5_t300,0.916515138991168,0.004560463403305534,11.698870021368187,0.19595917942265426,0.005416025603090645,89.35441730333827,0.0,0.0
