Run,ExperimentGroup,Algorithm,Tag,Case,Param_Set,Archive_size,Profit_max,Load_min,Attitude_min,Quality_max,Representative_Profit,Representative_Load,Representative_Attitude,Representative_Quality,Task_count_mean,Representative_Index,Final_feasible_count,Final_candidate_count,Best_completion_rate,Runtime_seconds,RL_T_ref,RL_avg_episode_length,RL_last_train_loss,RL_last_epsilon,RL_last_kappa,RL_last_q_baseline,RL_last_advantage_span,RL_replay_size,Candidate_nodes,Conflict_edges,Param_overrides
1,comparison,MODBO,modbo,world_s5_t800,modbo,6,5552.0,0.4,21330.616449233345,,5552.0,0.7483314773547882,21623.86033299999,,796,0,6,6,0.995,1443.5762829999876,,,,,,,,,5381,22923,{}
2,comparison,MODBO,modbo,world_s5_t800,modbo,10,5552.0,0.4,21610.460138066657,,5552.0,0.4,22515.746139200033,,796,1,10,10,0.995,1549.1558553000068,,,,,,,,,5381,22923,{}
3,comparison,MODBO,modbo,world_s5_t800,modbo,18,5552.0,0.0,20893.298952033343,,5552.0,0.7483314773547882,22395.545790999993,,796,2,18,18,0.995,1556.8019605000009,,,,,,,,,5381,22923,{}
4,comparison,MODBO,modbo,world_s5_t800,modbo,10,5552.0,0.0,20980.437105162626,,5552.0,0.7483314773547882,21707.388976595954,,796,1,10,10,0.995,1076.017326400004,,,,,,,,,5381,22923,{}
5,comparison,MODBO,modbo,world_s5_t800,modbo,14,5552.0,0.7483314773547882,21648.16663173337,,5552.0,0.9797958971132712,22736.99643936672,,796,4,14,14,0.995,1086.9842962000112,,,,,,,,,5381,22923,{}
6,comparison,MODBO,modbo,world_s5_t800,modbo,11,5547.0,0.4,21569.57584626663,,5547.0,0.6324555320336759,23438.16557176666,,795,1,11,11,0.99375,1578.9510937000014,,,,,,,,,5381,22923,{}
7,comparison,MODBO,modbo,world_s5_t800,modbo,11,5552.0,0.6324555320336759,21139.84361696666,,5552.0,3.54400902933387,21165.078007466673,,796,1,11,11,0.995,1496.295722099996,,,,,,,,,5381,22923,{}
8,comparison,MODBO,modbo,world_s5_t800,modbo,14,5552.0,0.4,21139.971339500014,,5552.0,0.9797958971132712,22138.57459403337,,796,0,14,14,0.995,1500.3980744,,,,,,,,,5381,22923,{}
9,comparison,MODBO,modbo,world_s5_t800,modbo,18,5552.0,0.4,21138.611526193807,,5552.0,0.4,22969.24603361898,,796,0,18,18,0.995,1026.9216264999995,,,,,,,,,5381,22923,{}
10,comparison,MODBO,modbo,world_s5_t800,modbo,9,5552.0,0.6324555320336759,22269.68376650001,,5552.0,2.7856776554368237,22689.321683599996,,796,2,9,9,0.995,425.44508900000073,,,,,,,,,5381,22923,{}
Average,comparison,MODBO,modbo,world_s5_t800,modbo,12.1,5551.5,0.401324254142214,21372.066537165647,,5551.5,1.1966728443095276,22337.992356964838,,795.9,,12.1,12.1,0.994875,1274.0547327100007,,,,,,,,,5381.0,22923.0,{}
Std,comparison,MODBO,modbo,world_s5_t800,modbo,3.6728735344413916,1.5,0.23439036464239657,390.4351954828585,,1.5,1.0158612620294882,651.8855997541501,,0.3,,3.6728735344413916,3.6728735344413916,0.000374999999999992,351.1944756427644,,,,,,,,,0.0,0.0,{}
