Run,Representative_Index,Task_Count,Profit,Load,Attitude,Quality,Task_Order,Task_ID,Window_Index,Satellite_Index,Actual_Start,Actual_End,Duration_Seconds
1,43,424,2969.0,3.249615361854384,9804.453955333336,,39,175,0,4,2013-04-20T10:23:34.519,2013-04-20T10:24:02.519,28.0
1,43,424,2969.0,3.249615361854384,9804.453955333336,,40,3,0,4,2013-04-20T10:24:27.840,2013-04-20T10:24:55.840,28.0
1,43,424,2969.0,3.249615361854384,9804.453955333336,,41,25,0,3,2013-04-20T10:25:14.038,2013-04-20T10:25:32.038,18.0
1,43,424,2969.0,3.249615361854384,9804.453955333336,,42,82,0,3,2013-04-20T10:25:52.134,2013-04-20T10:26:08.134,16.0
1,43,424,2969.0,3.249615361854384,9804.453955333336,,43,579,0,4,2013-04-20T10:26:11.311,2013-04-20T10:26:30.311,19.0
1,43,424,2969.0,3.249615361854384,9804.453955333336,,44,119,0,3,2013-04-20T10:26:47.938,2013-04-20T10:27:02.938,15.0
1,43,424,2969.0,3.249615361854384,9804.453955333336,,45,580,0,3,2013-04-20T10:27:46.735,2013-04-20T10:28:04.735,18.0
1,43,424,2969.0,3.249615361854384,9804.453955333336,,46,575,0,3,2013-04-20T10:28:37.982,2013-04-20T10:28:58.982,21.0
1,43,424,2969.0,3.249615361854384,9804.453955333336,,47,361,0,2,2013-04-20T10:29:46.715,2013-04-20T10:30:03.715,17.0
1,43,424,2969.0,3.249615361854384,9804.453955333336,,48,180,0,3,2013-04-20T10:30:18.262,2013-04-20T10:30:39.262,21.0
1,43,424,2969.0,3.249615361854384,9804.453955333336,,49,304,0,3,2013-04-20T10:31:19.383,2013-04-20T10:31:40.383,21.0
1,43,424,2969.0,3.249615361854384,9804.453955333336,,50,199,0,2,2013-04-20T10:31:56.683,2013-04-20T10:32:12.683,16.0
1,43,424,2969.0,3.249615361854384,9804.453955333336,,51,507,0,3,2013-04-20T10:32:17.720,2013-04-20T10:32:35.720,18.0
1,43,424,2969.0,3.249615361854384,9804.453955333336,,52,185,0,2,2013-04-20T10:32:24.580,2013-04-20T10:32:51.580,27.0
1,43,424,2969.0,3.249615361854384,9804.453955333336,,53,134,0,2,2013-04-20T10:33:39.150,2013-04-20T10:33:55.150,16.0
1,43,424,2969.0,3.249615361854384,9804.453955333336,,54,104,0,3,2013-04-20T10:33:42.906,2013-04-20T10:34:08.906,26.0
1,43,424,2969.0,3.249615361854384,9804.453955333336,,55,355,0,2,2013-04-20T10:36:04.369,2013-04-20T10:36:32.369,28.0
1,43,424,2969.0,3.249615361854384,9804.453955333336,,56,377,0,2,2013-04-20T10:37:25.864,2013-04-20T10:37:45.864,20.0
1,43,424,2969.0,3.249615361854384,9804.453955333336,,57,188,0,1,2013-04-20T10:37:29.538,2013-04-20T10:37:53.538,24.0
1,43,424,2969.0,3.249615361854384,9804.453955333336,,58,274,0,1,2013-04-20T10:38:22.606,2013-04-20T10:38:38.606,16.0
1,43,424,2969.0,3.249615361854384,9804.453955333336,,59,593,0,2,2013-04-20T10:38:27.594,2013-04-20T10:38:42.594,15.0
1,43,424,2969.0,3.249615361854384,9804.453955333336,,60,365,0,2,2013-04-20T10:39:17.050,2013-04-20T10:39:33.050,16.0
1,43,424,2969.0,3.249615361854384,9804.453955333336,,61,69,0,1,2013-04-20T10:39:22.554,2013-04-20T10:39:48.554,26.0
1,43,424,2969.0,3.249615361854384,9804.453955333336,,62,286,0,1,2013-04-20T10:40:15.550,2013-04-20T10:40:37.550,22.0
1,43,424,2969.0,3.249615361854384,9804.453955333336,,63,127,0,2,2013-04-20T10:40:22.424,2013-04-20T10:40:44.424,22.0
1,43,424,2969.0,3.249615361854384,9804.453955333336,,64,207,0,1,2013-04-20T10:40:55.991,2013-04-20T10:41:10.991,15.0
