Run,ExperimentGroup,Algorithm,Tag,Case,Param_Set,Archive_size,Profit_max,Load_min,Attitude_min,Quality_max,Representative_Profit,Representative_Load,Representative_Attitude,Representative_Quality,Task_count_mean,Representative_Index,Final_feasible_count,Final_candidate_count,Best_completion_rate,Runtime_seconds,RL_T_ref,RL_avg_episode_length,RL_last_train_loss,RL_last_epsilon,RL_last_kappa,RL_last_q_baseline,RL_last_advantage_span,RL_replay_size,Candidate_nodes,Conflict_edges,Param_overrides
1,comparison,MODBO,modbo,area_s5_t600,modbo,100,2935.0,0.4,8008.935219133338,,2935.0,4.707440918375928,10239.107731699993,,419,8,100,100,0.7016666666666667,960.9285476000005,,,,,,,,,3933,42034,{}
2,comparison,MODBO,modbo,area_s5_t600,modbo,97,2910.0,0.4,7769.172085617411,,2910.0,5.2687759489277965,10226.206338850749,,414,68,97,97,0.69,1674.6343589999979,,,,,,,,,3933,42034,{}
3,comparison,MODBO,modbo,area_s5_t600,modbo,69,2909.0,0.0,7537.971942032731,,2909.0,1.8547236990991407,9676.161805333331,,413,7,69,69,0.6883333333333334,1615.265637999999,,,,,,,,,3933,42034,{}
4,comparison,MODBO,modbo,area_s5_t600,modbo,42,2979.0,0.4,9004.34616416663,,2979.0,2.6076809620810595,9856.343315956048,,425,9,42,42,0.7083333333333334,963.4627975999992,,,,,,,,,3933,42034,{}
5,comparison,MODBO,modbo,area_s5_t600,modbo,18,2924.0,0.0,8507.156507566091,,2924.0,1.8330302779823362,9412.976245833315,,416,7,18,18,0.6933333333333334,766.324118999999,,,,,,,,,3933,42034,{}
6,comparison,MODBO,modbo,area_s5_t600,modbo,100,2906.0,0.4,7558.7006127666455,,2906.0,2.244994432064365,10041.15961963334,,413,7,100,100,0.6883333333333334,819.2334152000003,,,,,,,,,3933,42034,{}
7,comparison,MODBO,modbo,area_s5_t600,modbo,45,2904.0,0.4,8836.470455566712,,2904.0,2.227105745132009,9324.47647849662,,414,26,45,45,0.69,1044.5278961999975,,,,,,,,,3933,42034,{}
8,comparison,MODBO,modbo,area_s5_t600,modbo,39,2931.0,0.4,8360.124282102906,,2931.0,2.925747767665559,9952.283602833326,,416,11,39,39,0.695,990.6765680999997,,,,,,,,,3933,42034,{}
9,comparison,MODBO,modbo,area_s5_t600,modbo,54,2943.0,0.4,8755.077534633323,,2943.0,2.4,9651.595698799987,,419,32,54,54,0.6983333333333334,770.0952728000011,,,,,,,,,3933,42034,{}
10,comparison,MODBO,modbo,area_s5_t600,modbo,55,2953.0,0.4,8826.524175466666,,2953.0,2.638181191654584,9550.775276851662,,419,38,55,55,0.6983333333333334,770.6451390000002,,,,,,,,,3933,42034,{}
Average,comparison,MODBO,modbo,area_s5_t600,modbo,61.9,2929.4,0.32,8316.447897905246,,2929.4,2.8707680942982776,9793.108611428837,,416.8,,61.9,61.9,0.6951666666666667,1037.5793752499994,,,,,,,,,3933.0,42034.0,{}
Std,comparison,MODBO,modbo,area_s5_t600,modbo,27.256008511885963,22.913751329714653,0.16,529.9772897975909,,22.913751329714653,1.1129647562969078,305.59745770064626,,3.57211421989835,,27.256008511885963,27.256008511885963,0.006211548384528089,318.9409421936848,,,,,,,,,0.0,0.0,{}
