Run,Algorithm,Case,Archive_size,Best_f1,Best_f2,Best_f3,Best_completion_rate,Runtime_seconds,Candidate_nodes,Conflict_edges
1,MOACO,area_s5_t100,27,0.0,767.6997920732531,0.4,1.0,70.69224620000023,701,4898
2,MOACO,area_s5_t100,46,0.0,778.8595326268183,0.0,1.0,70.2854269999998,701,4898
3,MOACO,area_s5_t100,26,0.0,760.6731705334655,0.0,1.0,71.97401380000065,701,4898
4,MOACO,area_s5_t100,24,0.0,757.685840476205,0.4,1.0,73.21540520000053,701,4898
5,MOACO,area_s5_t100,38,0.0,759.3153921991876,0.4,1.0,73.80095319999964,701,4898
6,MOACO,area_s5_t100,21,0.0,758.6499332614023,0.0,1.0,74.34776189999957,701,4898
7,MOACO,area_s5_t100,39,0.0,768.3599454662852,0.0,1.0,74.04515470000024,701,4898
8,MOACO,area_s5_t100,36,0.0,762.4599289143612,0.0,1.0,74.26655010000013,701,4898
9,MOACO,area_s5_t100,26,0.0,765.1194217109104,0.0,1.0,75.81582900000012,701,4898
10,MOACO,area_s5_t100,30,0.0,772.0857454101642,0.4,1.0,75.55914470000062,701,4898
Average,MOACO,area_s5_t100,31.3,0.0,765.0908702672053,0.16,1.0,73.40024858000015,701.0,4898.0
Std,MOACO,area_s5_t100,7.603288762108145,0.0,6.419600363285284,0.19595917942265426,0.0,1.7839364400618214,0.0,0.0
