Run,Algorithm,Case,Archive_size,Best_f1,Best_f2,Best_f3,Best_completion_rate,Runtime_seconds,Candidate_nodes,Conflict_edges
1,SFMODBO,area_s5_t100,65,0.021676300578034713,766.8428289666494,0.0,0.97,7.961649700000635,701,4898
2,SFMODBO,area_s5_t100,64,0.024566473988439252,763.3159227614384,0.0,0.97,8.00621030000002,701,4898
3,SFMODBO,area_s5_t100,44,0.014450867052023142,752.1019156353688,0.4,0.98,8.302121299999271,701,4898
4,SFMODBO,area_s5_t100,74,0.014450867052023142,767.2707027276782,0.0,0.98,8.167055099999743,701,4898
5,SFMODBO,area_s5_t100,82,0.024566473988439252,746.3498708625553,0.0,0.97,8.372235499999988,701,4898
6,SFMODBO,area_s5_t100,43,0.018786127167630062,750.9192742150619,0.4,0.98,7.9115867000000435,701,4898
7,SFMODBO,area_s5_t100,54,0.023121387283236983,761.0900613688831,0.0,0.97,8.061976299999515,701,4898
8,SFMODBO,area_s5_t100,81,0.024566473988439252,766.1492254307148,0.4,0.97,8.631929500000297,701,4898
9,SFMODBO,area_s5_t100,70,0.026011560693641633,749.3882455563884,0.4,0.97,8.28638520000004,701,4898
10,SFMODBO,area_s5_t100,61,0.030346820809248554,747.6870548320743,0.0,0.97,7.979546699999446,701,4898
Average,SFMODBO,area_s5_t100,63.8,0.0222543352601156,757.1115102356813,0.16,0.973,8.1680696299999,701.0,4898.0
Std,SFMODBO,area_s5_t100,13.03687079018581,0.004801516683767659,8.134085935996076,0.19595917942265426,0.004582575694955844,0.21684255773985578,0.0,0.0
