solution_index,f1_uncompleted_profit_ratio,f2_maneuver_cost,f3_load_imbalance,scheduled_nodes,scheduled_tasks,task_completion_rate,node_ids
0,0.030346820809248554,899.2231420259537,1.9390719429665317,96,96,0.96,1 12 15 20 34 37 43 47 53 61 81 87 97 106 108 110 111 125 126 129 139 145 148 162 174 181 186 189 197 200 203 206 209 213 214 219 222 238 241 246 262 276 278 283 308 311 316 321 322 327 349 365 370 373 374 381 382 398 411 412 431 434 437 440 441 452 456 476 478 496 497 501 507 521 528 532 535 556 561 562 571 582 583 591 603 615 625 642 643 649 676 684 685 691 692 697
1,0.037572254335260125,877.0079101805823,1.6733200530681511,95,95,0.95,6 28 29 30 32 33 42 47 62 65 70 93 100 106 109 127 136 150 151 155 160 176 186 189 194 213 227 231 234 239 243 251 252 270 271 281 291 296 299 313 322 325 326 347 349 353 359 360 363 369 394 395 398 425 441 444 446 461 474 478 480 482 483 484 497 506 508 518 527 537 544 546 553 556 560 565 572 584 594 600 607 616 636 641 643 661 667 668 674 685 687 691 697 699 700
2,0.054913294797687806,862.2310991637266,1.8547236990991407,93,93,0.93,1 8 10 19 20 33 52 53 64 70 77 93 100 102 106 114 120 122 131 154 164 172 174 187 194 196 203 206 216 219 222 226 249 261 268 291 304 317 319 321 326 338 343 349 361 366 368 371 390 404 412 418 425 438 440 444 449 454 456 467 468 505 522 527 528 531 534 536 545 548 553 557 559 561 565 571 577 588 602 604 610 613 620 628 632 633 649 655 660 661 662 693 697
3,0.09104046242774566,804.9532386275923,2.2271057451320084,89,89,0.89,5 6 13 14 24 31 32 35 41 53 55 62 70 80 83 85 97 103 115 125 130 140 141 148 156 158 187 189 197 203 207 219 221 222 242 247 262 266 269 294 299 301 325 327 328 339 348 354 361 370 375 391 401 407 412 417 420 433 447 456 458 463 467 473 504 507 509 516 522 536 550 562 571 587 589 591 594 618 622 630 655 662 671 672 675 680 683 697 700
4,0.07369942196531787,871.2985281054353,1.32664991614216,91,91,0.91,0 5 12 27 32 41 45 48 53 61 69 80 100 103 109 111 126 129 138 145 151 156 164 178 179 183 189 206 207 215 216 227 228 231 236 239 259 261 277 281 293 298 311 322 323 337 339 342 359 360 362 365 373 387 398 403 412 432 437 452 456 476 494 499 503 509 519 530 532 548 549 550 556 570 575 576 586 587 591 594 596 610 615 618 626 668 672 674 681 688 697
5,0.06213872832369938,841.1867781774783,2.939387691339814,92,92,0.92,11 19 25 26 32 33 36 38 46 47 53 70 82 85 87 92 97 104 118 126 131 136 139 141 176 195 201 219 220 232 247 249 251 254 261 271 272 288 299 301 312 322 332 334 342 344 346 347 349 364 381 399 402 408 426 434 437 440 454 456 457 468 472 479 484 493 496 497 503 527 528 548 556 560 563 568 572 585 588 613 640 643 646 655 659 662 667 677 680 688 696 699
6,0.06069364161849711,849.9283131150886,2.4979991993593593,92,92,0.92,19 40 45 47 49 63 70 81 90 91 100 109 111 121 126 132 140 151 155 165 167 169 174 194 213 220 223 227 247 261 269 288 292 311 315 322 325 333 341 342 346 350 357 360 365 369 371 394 395 398 403 418 423 424 427 428 433 439 444 452 461 472 480 490 498 508 516 519 527 544 546 551 559 575 576 591 592 603 607 614 618 622 633 641 658 661 666 675 677 692 697 699
7,0.08670520231213874,815.920590147585,1.7204650534085253,89,89,0.89,14 16 21 30 39 48 53 60 70 80 84 88 91 94 104 108 111 117 128 138 140 149 156 158 174 183 195 201 212 219 221 222 228 238 241 261 264 269 278 288 299 308 314 337 343 348 365 369 381 386 392 398 402 410 423 424 446 452 461 465 472 473 486 497 503 504 527 528 537 545 552 556 564 568 571 584 591 592 595 602 609 612 617 625 632 666 679 693 696
