Run,ExperimentGroup,Algorithm,Tag,Case,Param_Set,Archive_size,Profit_max,Load_min,Attitude_min,Quality_max,Representative_Profit,Representative_Load,Representative_Attitude,Representative_Quality,Task_count_mean,Representative_Index,Final_feasible_count,Final_candidate_count,Best_completion_rate,Runtime_seconds,RL_T_ref,RL_avg_episode_length,RL_last_train_loss,RL_last_epsilon,RL_last_kappa,RL_last_q_baseline,RL_last_advantage_span,RL_replay_size,Candidate_nodes,Conflict_edges,Param_overrides
1,comparison,SPEA2,spea2,area_s5_t400,spea2,28,2393.0,0.0,7824.640758366662,,2393.0,1.8973665961010275,8234.484566366666,,340,20,28,28,0.85,966.0529807999992,,,,,,,,,2737,22192,{}
2,comparison,SPEA2,spea2,area_s5_t400,spea2,21,2353.0,0.0,7300.545487851487,,2353.0,3.3466401061363023,8966.22257133333,,335,17,21,21,0.8375,733.0740564999996,,,,,,,,,2737,22192,{}
3,comparison,SPEA2,spea2,area_s5_t400,spea2,99,2450.0,0.0,7234.039640500001,,2450.0,0.8,8239.052205584827,,348,34,99,99,0.87,1021.5733147000001,,,,,,,,,2737,22192,{}
4,comparison,SPEA2,spea2,area_s5_t400,spea2,24,2439.0,0.0,7710.876170966668,,2439.0,1.7204650534085253,9026.798544800009,,346,17,24,24,0.865,713.2349234000003,,,,,,,,,2737,22192,{}
5,comparison,SPEA2,spea2,area_s5_t400,spea2,36,2395.0,0.0,7779.818120366671,,2395.0,0.7483314773547882,8531.192586181834,,339,12,36,36,0.8475,798.3741576999992,,,,,,,,,2737,22192,{}
6,comparison,SPEA2,spea2,area_s5_t400,spea2,37,2425.0,0.0,7701.058729066666,,2425.0,1.624807680927192,8256.203033515158,,343,28,37,37,0.8575,776.4527834999999,,,,,,,,,2737,22192,{}
7,comparison,SPEA2,spea2,area_s5_t400,spea2,48,2388.0,0.0,7625.416876433341,,2388.0,1.3266499161421599,7923.278633466673,,339,5,48,48,0.8475,1024.166242199999,,,,,,,,,2737,22192,{}
8,comparison,SPEA2,spea2,area_s5_t400,spea2,18,2401.0,0.0,7552.715195066693,,2401.0,0.4,7710.853694666691,,339,9,18,18,0.8475,745.9959904999996,,,,,,,,,2737,22192,{}
9,comparison,SPEA2,spea2,area_s5_t400,spea2,62,2425.0,0.0,7840.318976415151,,2425.0,0.7483314773547882,9092.146055781805,,344,31,62,62,0.86,625.1959806000013,,,,,,,,,2737,22192,{}
10,comparison,SPEA2,spea2,area_s5_t400,spea2,25,2379.0,0.0,8034.186778200008,,2379.0,2.9393876913398134,8965.156816415169,,338,17,25,25,0.845,590.0752382999999,,,,,,,,,2737,22192,{}
Average,comparison,SPEA2,spea2,area_s5_t400,spea2,39.8,2404.8,0.0,7660.361673323335,,2404.8,1.5551979998764598,8494.538870811217,,341.1,,39.8,39.8,0.85275,799.4195668199998,,,,,,,,,2737.0,22192.0,{}
Std,comparison,SPEA2,spea2,area_s5_t400,spea2,23.502340308999017,28.12401109372559,0.0,232.72780912951316,,28.12401109372559,0.923774421155002,470.73892231089087,,3.8065732621348563,,23.502340308999017,23.502340308999017,0.009516433155337133,147.31636716574937,,,,,,,,,0.0,0.0,{}
