Run,Algorithm,Case,Archive_size,Best_f1,Best_f2,Best_f3,Best_completion_rate,Runtime_seconds,Candidate_nodes,Conflict_edges
1,MOACO,area_s5_t500,100,0.3990288489003142,1651.8546887335128,0.4,0.568,734.7017003000001,3639,82754
2,MOACO,area_s5_t500,100,0.40616966580976865,1747.644579914271,0.4,0.564,740.5637819000003,3639,82754
3,MOACO,area_s5_t500,100,0.3998857469294488,1721.213960662479,0.4,0.57,745.1388754,3639,82754
4,MOACO,area_s5_t500,100,0.4050271351042559,1724.0372709973083,0.0,0.562,746.3397733000002,3639,82754
5,MOACO,area_s5_t500,100,0.39245929734361606,1749.1307490814581,0.4,0.574,759.3195961999991,3639,82754
6,MOACO,area_s5_t500,100,0.397029420165667,1746.3977030371655,0.0,0.568,760.9777769000011,3639,82754
7,MOACO,area_s5_t500,100,0.4073121965152814,1715.838100947301,0.0,0.558,758.6886367000006,3639,82754
8,MOACO,area_s5_t500,100,0.408454727220794,1731.1537450104088,0.4,0.564,764.7074238000005,3639,82754
9,MOACO,area_s5_t500,100,0.40616966580976865,1720.9274923345226,0.4,0.56,894.9327029999986,3639,82754
10,MOACO,area_s5_t500,100,0.4030277063696087,1729.6091581067426,0.4,0.57,794.2127887999995,3639,82754
Average,MOACO,area_s5_t500,100.0,0.40245644101685235,1723.780744882517,0.28,0.5658,769.95830563,3639.0,82754.0
Std,MOACO,area_s5_t500,0.0,0.004917529669616075,26.57668535745232,0.1833030277982336,0.0047707441767505885,44.53784302736586,0.0,0.0
